id,article_id,title,date_published,source,url,text_excerpt,narrative_type,emotion_label,theme_label
76,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I begged them to let me call my lawyer.,direct_testimony,fear,Legal Barriers
77,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,They told reporters about the emotional impact on children.,reporter_description,sadness,Community Organizing
78,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My mother fainted when they forced my brother into the van.,direct_testimony,sadness,Family Separation
79,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,Witnesses described confusion and chaos outside the home.,reporter_description,sadness,Detention Conditions
80,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,We still don’t know why our home was targeted.,direct_testimony,surprise,Legal Barriers
81,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I remember the officers banging on our door before sunrise.,direct_testimony,sadness,Family Separation
82,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,Neighbors said they saw people being taken without warning.,reporter_description,fear,Family Separation
83,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My children were crying as agents entered our home.,direct_testimony,sadness,Legal Barriers
84,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,She described the raid as the most terrifying moment of her life.,reporter_description,fear,Family Separation
85,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Witnesses reported that several families were detained.,reporter_description,fear,Deportation Defense
86,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,They told us to stand outside while they searched the house.,reporter_description,anger,Detention Conditions
87,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,We didn’t know where my father was taken.,direct_testimony,neutral,Legal Barriers
88,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,He said the agents broke the lock without identifying themselves.,reporter_description,sadness,Family Separation
89,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,I was preparing breakfast when they shouted for us to get out.,direct_testimony,disgust,Family Separation
90,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Residents described agents with rifles moving through the hallway.,reporter_description,fear,Legal Barriers
91,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,My family still has nightmares about that morning.,direct_testimony,shock,Legal Barriers
92,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,She said the officers gave no explanation before detaining her son.,reporter_description,shock,Family Separation
93,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,We watched our neighbors being taken in handcuffs.,reporter_description,sadness,Family Separation
94,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,He remembers agents surrounding the building.,reporter_description,anger,Family Separation
95,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,People in the community said they feared more raids.,reporter_description,fear,Legal Barriers
96,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I begged them to let me call my lawyer.,direct_testimony,sadness,Deportation Defense
97,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,They told reporters about the emotional impact on children.,reporter_description,fear,Detention Conditions
98,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My mother fainted when they forced my brother into the van.,direct_testimony,anger,Legal Barriers
99,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,Witnesses described confusion and chaos outside the home.,reporter_description,shock,Detention Conditions
100,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,We still don’t know why our home was targeted.,direct_testimony,disgust,Legal Barriers
101,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I remember the officers banging on our door before sunrise.,direct_testimony,sadness,Community Organizing
102,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,Neighbors said they saw people being taken without warning.,reporter_description,anger,Family Separation
103,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My children were crying as agents entered our home.,direct_testimony,sadness,Legal Barriers
104,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,She described the raid as the most terrifying moment of her life.,reporter_description,anger,Detention Conditions
105,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Witnesses reported that several families were detained.,reporter_description,sadness,Family Separation
106,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,They told us to stand outside while they searched the house.,reporter_description,sadness,Family Separation
107,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,We didn’t know where my father was taken.,direct_testimony,shock,Family Separation
108,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,He said the agents broke the lock without identifying themselves.,reporter_description,shock,Deportation Defense
109,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,I was preparing breakfast when they shouted for us to get out.,direct_testimony,fear,Family Separation
110,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Residents described agents with rifles moving through the hallway.,reporter_description,sadness,Detention Conditions
111,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,My family still has nightmares about that morning.,direct_testimony,fear,Family Separation
112,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,She said the officers gave no explanation before detaining her son.,reporter_description,anger,Community Organizing
113,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,We watched our neighbors being taken in handcuffs.,reporter_description,fear,Detention Conditions
114,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,He remembers agents surrounding the building.,reporter_description,fear,Family Separation
115,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,People in the community said they feared more raids.,reporter_description,anger,Family Separation
116,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I begged them to let me call my lawyer.,direct_testimony,neutral,Family Separation
117,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,They told reporters about the emotional impact on children.,reporter_description,shock,Community Organizing
118,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My mother fainted when they forced my brother into the van.,direct_testimony,disgust,Family Separation
119,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,Witnesses described confusion and chaos outside the home.,reporter_description,neutral,Legal Barriers
120,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,We still don’t know why our home was targeted.,direct_testimony,anger,Detention Conditions
121,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I remember the officers banging on our door before sunrise.,direct_testimony,anger,Deportation Defense
122,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,Neighbors said they saw people being taken without warning.,reporter_description,fear,Family Separation
123,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My children were crying as agents entered our home.,direct_testimony,disgust,Deportation Defense
124,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,She described the raid as the most terrifying moment of her life.,reporter_description,fear,Legal Barriers
125,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Witnesses reported that several families were detained.,reporter_description,disgust,Legal Barriers
126,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,They told us to stand outside while they searched the house.,reporter_description,fear,Legal Barriers
127,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,We didn’t know where my father was taken.,direct_testimony,shock,Deportation Defense
128,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,He said the agents broke the lock without identifying themselves.,reporter_description,sadness,Family Separation
129,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,I was preparing breakfast when they shouted for us to get out.,direct_testimony,fear,Family Separation
130,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Residents described agents with rifles moving through the hallway.,reporter_description,shock,Deportation Defense
131,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,My family still has nightmares about that morning.,direct_testimony,fear,Deportation Defense
132,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,She said the officers gave no explanation before detaining her son.,reporter_description,neutral,Detention Conditions
133,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,We watched our neighbors being taken in handcuffs.,reporter_description,anger,Community Organizing
134,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,He remembers agents surrounding the building.,reporter_description,sadness,Deportation Defense
135,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,People in the community said they feared more raids.,reporter_description,sadness,Detention Conditions
136,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I begged them to let me call my lawyer.,direct_testimony,fear,Community Organizing
137,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,They told reporters about the emotional impact on children.,reporter_description,fear,Detention Conditions
138,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My mother fainted when they forced my brother into the van.,direct_testimony,surprise,Legal Barriers
139,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,Witnesses described confusion and chaos outside the home.,reporter_description,fear,Detention Conditions
140,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,We still don’t know why our home was targeted.,direct_testimony,sadness,Family Separation
141,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I remember the officers banging on our door before sunrise.,direct_testimony,fear,Family Separation
142,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,Neighbors said they saw people being taken without warning.,reporter_description,fear,Deportation Defense
143,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My children were crying as agents entered our home.,direct_testimony,fear,Family Separation
144,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,She described the raid as the most terrifying moment of her life.,reporter_description,anger,Family Separation
145,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Witnesses reported that several families were detained.,reporter_description,fear,Legal Barriers
146,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,They told us to stand outside while they searched the house.,reporter_description,fear,Detention Conditions
147,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,We didn’t know where my father was taken.,direct_testimony,sadness,Legal Barriers
148,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,He said the agents broke the lock without identifying themselves.,reporter_description,fear,Deportation Defense
149,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,I was preparing breakfast when they shouted for us to get out.,direct_testimony,fear,Community Organizing
150,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Residents described agents with rifles moving through the hallway.,reporter_description,sadness,Community Organizing
151,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,My family still has nightmares about that morning.,direct_testimony,disgust,Family Separation
152,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,She said the officers gave no explanation before detaining her son.,reporter_description,sadness,Detention Conditions
153,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,We watched our neighbors being taken in handcuffs.,reporter_description,shock,Community Organizing
154,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,He remembers agents surrounding the building.,reporter_description,surprise,Deportation Defense
155,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,People in the community said they feared more raids.,reporter_description,anger,Family Separation
156,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I begged them to let me call my lawyer.,direct_testimony,fear,Legal Barriers
157,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,They told reporters about the emotional impact on children.,reporter_description,sadness,Detention Conditions
158,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My mother fainted when they forced my brother into the van.,direct_testimony,sadness,Community Organizing
159,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,Witnesses described confusion and chaos outside the home.,reporter_description,sadness,Detention Conditions
160,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,We still don’t know why our home was targeted.,direct_testimony,anger,Family Separation
161,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I remember the officers banging on our door before sunrise.,direct_testimony,sadness,Family Separation
162,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,Neighbors said they saw people being taken without warning.,reporter_description,sadness,Legal Barriers
163,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My children were crying as agents entered our home.,direct_testimony,fear,Family Separation
164,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,She described the raid as the most terrifying moment of her life.,reporter_description,fear,Community Organizing
165,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Witnesses reported that several families were detained.,reporter_description,anger,Deportation Defense
166,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,They told us to stand outside while they searched the house.,reporter_description,shock,Deportation Defense
167,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,We didn’t know where my father was taken.,direct_testimony,surprise,Family Separation
168,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,He said the agents broke the lock without identifying themselves.,reporter_description,sadness,Family Separation
169,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,I was preparing breakfast when they shouted for us to get out.,direct_testimony,fear,Community Organizing
170,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Residents described agents with rifles moving through the hallway.,reporter_description,fear,Family Separation
